time,beta,temp
504,0.820717998,-14.11
505,0.823995888,-10.14
506,0.827083118,-8.68
507,0.829957381,-13.33
508,0.832601599,-15.55
509,0.83500199,-8.4
510,0.8371493,-2.01
511,0.839037575,-10.28
512,0.84066388,-15.11
513,0.842027694,-5.59
514,0.843131103,-4.68
515,0.843977809,-11.95
516,0.844572894,-16.32
517,0.844923094,-14.01
518,0.845035717,-7.19
519,0.844919294,-6.43
520,0.844582476,-1.38
521,0.844034672,-7.85
522,0.843285784,-13.02
523,0.842345677,-5.25
524,0.841224536,3.25
525,0.839932457,2.96
526,0.838479735,3.87
527,0.836876526,7.11
528,0.835132852,7.54
529,0.833258748,8.8
530,0.831263974,11.07
531,0.829158165,9.79
532,0.826950751,9.9
533,0.824651003,15.65
534,0.82226795,7.6
535,0.81981048,3.94
536,0.817287043,4.43
537,0.814706139,6.03
538,0.812075958,8.21
539,0.809404418,6.39
540,0.806699097,3.7
541,0.803967789,1.25
542,0.801217504,3.38
543,0.798455596,2.69
544,0.795688771,-0.46
545,0.792923555,1.26
546,0.790165983,6.14
547,0.787422173,9.91
548,0.784697667,12.68
549,0.781997137,15.04
550,0.779325478,15.5
551,0.776686393,7.73
552,0.774083003,6.27
553,0.771517769,11.64
554,0.768992119,11.53
555,0.766506605,10.94
556,0.764060676,9.78
557,0.761652485,11.56
558,0.759278923,7.82
559,0.756935515,9.67
560,0.754616529,14.1
561,0.752314605,13.77
562,0.750020877,11.84
563,0.747725286,12.67
564,0.745416336,14.79
565,0.743081532,17.15
566,0.740707129,16.92
567,0.738279134,14.71
568,0.735783018,9.2
569,0.733204499,8.32
570,0.730529949,6.2
571,0.727746956,7.03
572,0.724845007,10.26
573,0.721816167,9.94
574,0.718655221,9.33
575,0.715361021,10.27
576,0.711936049,12.49
577,0.708387151,13.94
578,0.704725243,13.19
579,0.700965516,13.35
580,0.697126649,16.2
581,0.693230219,19.47
582,0.689299837,19.04
583,0.685360044,17.6
584,0.68143554,19.11
585,0.677550077,20.59
586,0.673725598,17.38
587,0.669981517,16.41
588,0.666334182,17.42
589,0.66279728,13.59
590,0.659380518,10.93
591,0.656091146,13.08
592,0.652933329,13.74
593,0.649908714,17.73
594,0.647017039,20.3
595,0.644256122,21.34
596,0.641622722,14.68
597,0.639112245,8.91
598,0.63671973,9.48
599,0.634439465,11.23
600,0.632265687,15.52
601,0.630192235,16.86
602,0.628212921,17.07
603,0.626321908,19.37
604,0.624513019,19.07
605,0.622780435,18.98
606,0.621118203,20.33
607,0.619520869,20.48
608,0.6179827,16.25
609,0.616498169,13.67
610,0.615061942,14.62
611,0.613668598,16.35
612,0.612312794,18.92
613,0.61098941,20.7
614,0.609693203,21.76
615,0.608419102,20.74
616,0.607161872,23.49
617,0.605916798,22.07
618,0.604679149,23.44
619,0.603444375,25.53
620,0.602208298,22.07
621,0.600966919,19.39
622,0.599716578,20.29
623,0.598454211,22.11
624,0.597177129,21.95
625,0.595883258,20.01
626,0.594570782,21.66
627,0.593238581,21.79
628,0.591886394,20.56
629,0.590514041,22.55
630,0.589122217,23.37
631,0.587711975,25.42
632,0.58628514,21.93
633,0.584843803,21.19
634,0.583390623,22.9
635,0.581928708,21.34
636,0.580461591,19.99
637,0.578993119,21.17
638,0.57752781,21.63
639,0.576070126,22.39
