Day,Beta
656,0.909325883
657,0.913506798
658,0.91771856
659,0.921963736
660,0.926245786
661,0.930568427
662,0.93493586
663,0.939352177
664,0.943821758
665,0.948349044
666,0.95293735
667,0.957589395
668,0.962307215
669,0.967091344
670,0.971940145
671,0.976850308
672,0.981815949
673,0.986828513
674,0.991876051
675,0.996943891
676,1.002013177
677,1.007062048
678,1.012065016
679,1.016993254
680,1.021814518
681,1.026493832
682,1.030994125
683,1.035276487
684,1.039300837
685,1.043027125
686,1.046415091
687,1.049426235
688,1.052024111
689,1.054174274
690,1.055846013
691,1.057011522
692,1.057646908
693,1.057731159
694,1.057246506
695,1.056177422
696,1.054510109
697,1.052231684
698,1.049329512
699,1.045790739
700,1.041602172
701,1.036750354
702,1.031222254
703,1.025006235
704,1.018093161
705,1.010479145
706,1.002165824
707,0.993164316
708,0.983495437
709,0.973191857
710,0.962300099
711,0.950879872
712,0.939004868
713,0.926761873
714,0.914248481
715,0.901571341
716,0.888841979
717,0.876174502
718,0.86368072
719,0.85146746
720,0.839632608
721,0.828263283
722,0.817433517
723,0.807203494
724,0.797619622
725,0.788715042
726,0.780510034
727,0.773014624
728,0.766229726
729,0.760149583
730,0.754763287
731,0.750057261
732,0.746016774
733,0.742627669
734,0.739877626
735,0.737757297
736,0.736260282
737,0.735383812
738,0.735128172
739,0.735496484
740,0.736493111
741,0.738123439
742,0.740391742
743,0.743300222
744,0.746848147
745,0.751030162
746,0.755836394
747,0.761251103
748,0.767253313
749,0.773816615
750,0.780910425
751,0.788499974
752,0.796547409
753,0.805012703
754,0.813854501
755,0.823029585
756,0.832494617
757,0.842204675
758,0.852114558
759,0.862177774
760,0.872347124
761,0.88257499
762,0.892813347
763,0.903014719
764,0.913132884
765,0.923123874
766,0.932946578
767,0.9425641
768,0.951944143
769,0.961060375
770,0.969892077
771,0.978424706
772,0.986650728
773,0.994567655
774,1.002180122
775,1.009497598
776,1.016534477
777,1.023309991
778,1.0298471
779,1.036171153
780,1.042310812
781,1.048295811
782,1.054157481
783,1.059927993
784,1.065638617
785,1.071321085
786,1.077005789
787,1.082722709
788,1.088499233
789,1.094361819
790,1.100334965
791,1.106440648
792,1.112699069
793,1.119127944
794,1.12574286
795,1.132556431
796,1.139579497
797,1.146819904
798,1.15428324
799,1.161972106
800,1.169887081
801,1.178025834
802,1.186382934
803,1.19495067
804,1.20371893
805,1.212674469
806,1.22180146
807,1.23108241
808,1.240497008
809,1.250023246
810,1.259638175
811,1.26931718
812,1.279035181
813,1.288766697
814,1.298486352
815,1.308169514
816,1.317792132
817,1.3273305
818,1.336762205
819,1.346065626
820,1.355220854
821,1.364206284
822,1.373003244
823,1.381591305
824,1.389951617
825,1.398064256
826,1.405908629
827,1.413465261
828,1.420713365
829,1.427631527
830,1.434199229
831,1.440394238
832,1.446194902
833,1.451579854
834,1.456526399
835,1.461012691
836,1.465017185
837,1.468517348
838,1.471491829
839,1.473918632
840,1.475777805
841,1.477048188
842,1.477710575
843,1.477746919
844,1.477139845
845,1.475874901
846,1.473939106
847,1.471323088
848,1.468018934
849,1.464024425
850,1.459339455
851,1.453968272
852,1.447921202
853,1.441211611
854,1.433858633
855,1.425885677
856,1.417321488
857,1.408198521
858,1.398553878
859,1.388428062
860,1.377864301
861,1.36690788
862,1.35560523
863,1.344004735
864,1.332152829
865,1.320096493
866,1.307881117
867,1.29555048
868,1.283146918
869,1.270709559
870,1.258277029
871,1.245884195
872,1.23356472
873,1.221350387
874,1.209269807
875,1.197350845
876,1.185619146
877,1.174097478
878,1.162807114
879,1.151767284
880,1.140993282
881,1.130499549
882,1.120296963
883,1.110392995
884,1.100793749
885,1.091500662
886,1.082514077
887,1.073831119
888,1.065446109
889,1.057352133
890,1.049539573
891,1.041998029
892,1.034715213
893,1.027678467
894,1.020873904
895,1.01428806
896,1.007906735
897,1.001715869
898,0.995701946
899,0.989851967
900,0.984153636
901,0.978595383
902,0.973166987
903,0.967858501
904,0.962661982
905,0.957570322
906,0.952577583
907,0.947679229
908,0.942871854
909,0.938153028
910,0.933521867
911,0.928977914
912,0.924521923
913,0.920154944
914,0.915878907
915,0.911695845
916,0.907607913
917,0.903617367
918,0.899725705
919,0.8959345
920,0.892244488
921,0.888655812
922,0.885167442
923,0.881777868
924,0.878484301
925,0.87528345
926,0.872170791
927,0.869141415
928,0.866189241
929,0.863308154
930,0.860491596
931,0.85773287
932,0.855025075
933,0.852361783
934,0.849736638
935,0.84714444
936,0.844579965
937,0.842039503
938,0.839519948
939,0.837019503
940,0.834537409
941,0.832074158
942,0.82963147
943,0.827212125
944,0.824820407
945,0.822461061
946,0.82013993
947,0.817863576
948,0.815638974
949,0.813473046
950,0.81137307
951,0.809345961
952,0.807398103
953,0.8055356
954,0.803763628
955,0.802086689
956,0.800508834
957,0.799033582
958,0.797662877
959,0.796399236
960,0.795244403
961,0.794199727
962,0.793266304
963,0.792445362
964,0.791737869
965,0.791144788
966,0.790667236
967,0.790306121
968,0.7900621
969,0.789936304
970,0.789929263
971,0.790041558
972,0.790273301
973,0.790624328
974,0.791094333
975,0.791682243
976,0.792386808
977,0.793206222
978,0.794138327
979,0.795180149
980,0.796328582
981,0.797579788
982,0.798929513
983,0.800372973
984,0.801905438
985,0.803521223
986,0.80521439
987,0.806979157
988,0.808808982
989,0.810697414
990,0.812637851
991,0.814623557
992,0.816648059
993,0.81870465
994,0.820786931
995,0.822888792
996,0.825004481
997,0.827128507
998,0.829255939
999,0.831382476
1000,0.833504394
1001,0.835618667
1002,0.837722823
1003,0.839815333
1004,0.8418957
1005,0.843964025
1006,0.846021064
1007,0.848068818
1008,0.850109816
1009,0.852147557
1010,0.854186051
1011,0.856230035
1012,0.858284943
1013,0.860356353
1014,0.862450629
1015,0.864574097
1016,0.866733059
1017,0.868934028
1018,0.871183462
1019,0.873487033
1020,0.875850499
1021,0.878278419
1022,0.880775228
1023,0.883343965
1024,0.885986857
1025,0.888705544
