Day,beta
474,0.86404763
475,0.864035178
476,0.864561021
477,0.865621074
478,0.86721041
479,0.869322425
480,0.87194899
481,0.875080185
482,0.878704017
483,0.88280648
484,0.887370863
485,0.8923782
486,0.897806401
487,0.903630327
488,0.909821261
489,0.916347086
490,0.923171114
491,0.93025285
492,0.937547212
493,0.945004534
494,0.952570541
495,0.960186942
496,0.967791297
497,0.975318085
498,0.982699107
499,0.989864907
500,0.996745641
501,1.003272436
502,1.00937884
503,1.015002083
504,1.020084479
505,1.024574724
506,1.02842882
507,1.031611193
508,1.034095531
509,1.035865448
510,1.036914582
511,1.037247284
512,1.036878775
513,1.035834545
514,1.034151305
515,1.031875177
516,1.029062157
517,1.025776641
518,1.022090007
519,1.018079015
520,1.013823217
521,1.009402747
522,1.004895476
523,1.000374008
524,0.995903584
525,0.991539532
526,0.987326454
527,0.983296589
528,0.979470172
529,0.975856201
530,0.972452743
531,0.969248988
532,0.966226469
533,0.963361242
534,0.960625443
535,0.957989026
536,0.955421621
537,0.952893772
538,0.95037805
539,0.947849978
540,0.94528855
541,0.942676615
542,0.940001027
543,0.937252104
544,0.934423831
545,0.931513098
546,0.928519417
547,0.925444397
548,0.922291301
549,0.919064495
550,0.915769279
551,0.912411235
552,0.90899623
553,0.905530366
554,0.90201943
555,0.89846882
556,0.894883914
557,0.891269754
558,0.887630831
559,0.883971594
560,0.880296057
561,0.876608057
562,0.872911182
563,0.86920878
564,0.865504221
565,0.861800638
566,0.858101092
567,0.854408708
568,0.850726523
569,0.847057494
570,0.84340471
571,0.839771422
572,0.836160741
573,0.832576064
574,0.829020712
575,0.825498364
576,0.822012533
577,0.818567005
578,0.815165552
579,0.811812065
580,0.808510455
581,0.8052645
582,0.802078079
583,0.798954525
584,0.79589743
585,0.792909834
586,0.789994527
587,0.787153954
588,0.784390211
589,0.781705071
590,0.779099936
591,0.77657589
592,0.774133693
593,0.771773875
594,0.769496891
595,0.767302985
596,0.765192303
597,0.7631649
598,0.761220775
599,0.759359842
600,0.757582139
601,0.755887573
602,0.754275891
603,0.752747097
604,0.751300926
605,0.74993703
606,0.748655135
607,0.747454649
608,0.74633516
609,0.745296077
610,0.74433661
611,0.743455876
612,0.742653066
613,0.741926968
614,0.741276476
615,0.740700462
616,0.740197458
617,0.739766013
618,0.739404635
619,0.739111624
620,0.738885403
621,0.738724096
622,0.738625841
623,0.738588723
624,0.738610761
625,0.738689927
626,0.738824086
627,0.739011076
628,0.739248753
629,0.739534795
630,0.739866788
631,0.74024259
632,0.7406596
633,0.741115348
634,0.741607276
635,0.742132778
636,0.742689241
637,0.743273892
638,0.743883957
639,0.744516714
640,0.745169336
641,0.745838913
642,0.746522773
643,0.747218034
644,0.747922128
645,0.748632382
646,0.749346473
647,0.750062027
648,0.750777098
649,0.751489775
650,0.752198555
651,0.752902394
652,0.753600435
653,0.754292185
654,0.754977654
655,0.755657266
656,0.756331877
657,0.757002858
658,0.757671963
659,0.75834135
660,0.759013956
661,0.75969294
662,0.760381888
663,0.761085071
664,0.76180697
665,0.762552825
666,0.763327983
667,0.764138547
668,0.764990725
669,0.765891259
670,0.766847242
671,0.767866048
672,0.768955388
673,0.770123054
674,0.771377244
675,0.772726151
676,0.774178115
677,0.775741453
678,0.777424747
679,0.779236485
680,0.781185069
681,0.783278953
682,0.785526633
683,0.787936682
684,0.790517439
685,0.793277567
686,0.796225526
687,0.799369958
688,0.802719393
689,0.806282499
690,0.810067914
691,0.814084145
692,0.818339608
693,0.822842441
694,0.827600783
695,0.832621965
696,0.837913047
697,0.843480414
698,0.849329515
699,0.85546474
700,0.861889422
701,0.868605337
702,0.875612676
703,0.882909867
704,0.890493453
705,0.898357993
706,0.90649601
707,0.914898
708,0.92355286
709,0.93244816
710,0.941570515
711,0.950905984
712,0.960441037
713,0.970163253
714,0.980062208
715,0.990129834
716,1.000361784
717,1.010757685
718,1.02132199
719,1.032063544
720,1.042995811
721,1.054135669
722,1.065502069
723,1.077112664
724,1.088980957
725,1.101110968
726,1.113492294
727,1.126094352
728,1.138863206
729,1.151719635
730,1.16456203
731,1.177272168
732,1.18972593
733,1.201805017
734,1.213408459
735,1.224461469
736,1.234920328
737,1.244772824
738,1.254034541
739,1.262741522
740,1.270943002
741,1.278691649
742,1.286036708
743,1.293017723
744,1.299660455
745,1.305975751
746,1.311960069
747,1.317598896
748,1.322869919
749,1.327747475
750,1.33220729
751,1.336229162
752,1.339799155
753,1.342910842
754,1.345564951
755,1.347768523
756,1.349534143
757,1.350877643
758,1.35181764
759,1.352373015
760,1.352563945
761,1.35240894
762,1.35192585
763,1.351131092
764,1.350039829
765,1.348665703
766,1.347021493
767,1.345118382
768,1.342967185
769,1.340577873
770,1.337960059
771,1.335123105
772,1.332076203
773,1.328828562
774,1.325389526
775,1.321768772
776,1.317976095
777,1.314021739
778,1.309915976
779,1.305669882
780,1.301294424
781,1.296801307
782,1.292202321
783,1.287509658
784,1.282735846
785,1.277893673
786,1.272995851
787,1.268055905
788,1.263086991
789,1.258102818
790,1.253116743
791,1.248142736
792,1.243194439
793,1.23828552
794,1.233429871
795,1.228641196
796,1.223932938
797,1.219318628
798,1.214811542
799,1.210425068
800,1.206172
801,1.20206524
802,1.198117072
803,1.194339942
804,1.190745852
805,1.187346415
806,1.18415289
807,1.181176364
808,1.178427588
809,1.175916455
810,1.173652996
811,1.171646628
812,1.169905961
813,1.168439627
814,1.167254914
815,1.166359295
816,1.165758946
817,1.16545947
818,1.165465398
819,1.165780718
820,1.166407607
821,1.167347626
822,1.16860057
823,1.170164661
824,1.172036594
825,1.174210895
826,1.176680045
827,1.179434332
828,1.182461511
829,1.185746475
830,1.189271504
831,1.193015575
832,1.196955063
833,1.201062235
834,1.205306779
835,1.209654342
836,1.21406786
837,1.218506553
838,1.222926552
839,1.227281289
840,1.23152178
841,1.235596884
842,1.239453988
843,1.243039088
844,1.246299137
845,1.249180284
846,1.251630631
847,1.253600326
848,1.255042065
849,1.255912228
850,1.256171205
851,1.255784804
852,1.254724297
853,1.252967412
854,1.250498609
855,1.247310454
856,1.243403478
857,1.238787434
858,1.233480789
859,1.227512143
860,1.220919078
861,1.213749224
862,1.206058914
863,1.197912736
864,1.189382477
865,1.180545265
866,1.171482216
867,1.162276246
868,1.153009469
869,1.143760963
870,1.134604725
871,1.125606385
872,1.11682247
873,1.10829802
874,1.100065909
875,1.092146966
876,1.084550202
877,1.077273878
878,1.070307428
879,1.063632515
880,1.057225943
881,1.051061273
882,1.045110291
883,1.039345026
884,1.033738917
885,1.028267633
886,1.022909901
887,1.017647759
888,1.012466322
889,1.007354558
890,1.00230399
891,0.997308872
892,0.992365799
893,0.987473038
894,0.982630193
895,0.977837747
896,0.97309656
897,0.968408026
898,0.963773316
899,0.959193219
900,0.954668565
901,0.950199246
902,0.945785116
903,0.94142534
904,0.937118601
905,0.932863035
906,0.928656681
907,0.9244971
908,0.920381541
909,0.916307308
910,0.912271397
911,0.908270906
912,0.904302808
913,0.900364301
914,0.896452671
915,0.892565207
916,0.88869958
917,0.884853499
918,0.881025005
919,0.877212319
920,0.873413839
921,0.869628435
922,0.865855022
923,0.862092723
924,0.858341179
925,0.854600012
926,0.850869488
927,0.847149724
928,0.843441476
929,0.839745695
930,0.836063672
931,0.832396832
932,0.828747332
933,0.825117469
934,0.821509757
935,0.817927388
936,0.814373477
937,0.810851796
938,0.807366225
939,0.803920811
940,0.800519987
941,0.797168098
942,0.793869653
943,0.790629316
944,0.787451657
945,0.784341222
946,0.781302382
947,0.778339554
948,0.775457035
949,0.772658906
950,0.769949035
951,0.767331232
952,0.764809094
953,0.76238604
954,0.76006523
955,0.757849439
956,0.755741466
957,0.753743746
958,0.751858364
959,0.750087191
960,0.748431867
961,0.746893623
962,0.745473504
963,0.744172134
964,0.74299012
965,0.74192751
966,0.740984082
967,0.740159447
968,0.739452888
969,0.738863284
970,0.73838934
971,0.738029355
972,0.737781319
973,0.737642944
974,0.7376115
975,0.737683963
976,0.737856843
977,0.738126495
978,0.73848843
979,0.738938234
980,0.739470942
981,0.740081126
982,0.740763009
983,0.741510613
984,0.742317487
985,0.74317698
986,0.74408205
987,0.745025835
988,0.746000891
989,0.747000093
990,0.748016124
991,0.74904172
992,0.750069911
993,0.751093724
994,0.752106482
995,0.753102021
996,0.754074286
997,0.755017844
998,0.755927476
999,0.756798592
1000,0.757626967
1001,0.758408931
1002,0.759141256
1003,0.759821139
1004,0.760446435
1005,0.761015204
1006,0.761526249
1007,0.761978377
1008,0.762371361
1009,0.762704952
1010,0.762979404
1011,0.763195704
1012,0.763354795
1013,0.763458463
1014,0.763508732
1015,0.763508287
1016,0.763460192
1017,0.76336833
1018,0.763236929
1019,0.763071299
1020,0.762876966
1021,0.762660644
1022,0.762429725
1023,0.762192298
1024,0.76195732
1025,0.761734334
1026,0.761533699
1027,0.761366329
1028,0.761243425
1029,0.761176673
1030,0.761177681
1031,0.761258499
1032,0.761430534
1033,0.761705171
1034,0.762093213
1035,0.762604854
1036,0.763249733
1037,0.764036542
1038,0.764973239
1039,0.766066855
1040,0.767323429
1041,0.768748115
1042,0.770345422
1043,0.772118525
1044,0.77407036
1045,0.77620269
1046,0.778516948
1047,0.781013798
1048,0.783693866
1049,0.786556943
1050,0.789602778
1051,0.792830982
1052,0.796240969
1053,0.799831976
1054,0.80360314
1055,0.807553383
1056,0.81168146
1057,0.815985663
1058,0.820464075
1059,0.825114261
1060,0.829933139
1061,0.834916976
1062,0.840061415
1063,0.845361487
1064,0.850811487
1065,0.856405199
1066,0.862135968
1067,0.867996779
1068,0.873980549
1069,0.880080196
1070,0.886288822
1071,0.892599648
1072,0.899006546
1073,0.90550382
1074,0.912086281
1075,0.918749262
1076,0.925488732
1077,0.932301055
1078,0.939183192
1079,0.946131993
1080,0.953144995
1081,0.960219681
1082,0.96735362
1083,0.974544352
1084,0.981789529
1085,0.989086801
1086,0.996433876
1087,1.003828737
1088,1.011269732
1089,1.018755864
1090,1.026287036
1091,1.033864108
1092,1.041489672
1093,1.049168121
1094,1.056905996
1095,1.064712654
1096,1.072599985
1097,1.080583551
1098,1.088682072
1099,1.096917738
1100,1.105316195
1101,1.113906286
1102,1.122719093
1103,1.131786888
1104,1.141142433
1105,1.150816007
1106,1.160833478
1107,1.171213681
1108,1.18196469
1109,1.19308139
1110,1.204542702
1111,1.216309959
1112,1.22832709
1113,1.240521995
1114,1.252809969
1115,1.26509855
1116,1.277293238
1117,1.289302197
1118,1.301042611
1119,1.312441945
1120,1.323441408
1121,1.333995613
1122,1.344071746
1123,1.353648348
1124,1.362712633
1125,1.371259657
1126,1.37928967
1127,1.386807203
1128,1.39381982
1129,1.400337696
1130,1.406372352
1131,1.411937118
1132,1.417046374
1133,1.42171513
1134,1.42595975
1135,1.429796284
1136,1.433241898
1137,1.436313759
1138,1.439028794
1139,1.441404484
1140,1.443457744
1141,1.445205688
1142,1.446664528
1143,1.447851354
1144,1.448781924
1145,1.44947246
1146,1.449938568
1147,1.450195984
1148,1.450260011
1149,1.450146112
1150,1.449869145
1151,1.449444175
1152,1.448886134
1153,1.448209578
1154,1.447429007
1155,1.446558909
1156,1.445613471
1157,1.444606326
1158,1.443551356
1159,1.442461317
1160,1.441349203
1161,1.440227411
1162,1.439107461
1163,1.438000441
1164,1.436916839
1165,1.435865717
1166,1.434855949
1167,1.43389471
1168,1.432988275
1169,1.432141575
1170,1.431357665
1171,1.430638552
1172,1.429984093
1173,1.42939211
1174,1.428858768
1175,1.428377715
1176,1.427940184
1177,1.427535404
1178,1.427149968
1179,1.426768379
1180,1.426372701
1181,1.425942811
1182,1.42545634
1183,1.424889749
1184,1.424217647
1185,1.423413461
1186,1.42244986
1187,1.421299111
1188,1.419933427
1189,1.418325077
1190,1.416447119
1191,1.414273771
1192,1.411780303
1193,1.408943946
1194,1.405743382
1195,1.402159821
1196,1.398176692
1197,1.39377956
1198,1.38895737
1199,1.383701357
1200,1.378006122
1201,1.371869575
1202,1.365293037
1203,1.358281081
1204,1.350842519
1205,1.342990258
1206,1.334740921
1207,1.32611563
1208,1.317139918
1209,1.307842959
1210,1.29825863
1211,1.288423907
1212,1.278379245
1213,1.268167344
1214,1.257833416
1215,1.247423183
1216,1.236982346
1217,1.226555716
1218,1.216185949
1219,1.205912644
1220,1.195771521
1221,1.185793736
1222,1.176005103
1223,1.166426496
1224,1.157072988
1225,1.147954919
1226,1.139077913
1227,1.130443389
1228,1.122049635
1229,1.113891981
1230,1.105963935
1231,1.098257888
1232,1.090765086
1233,1.083476684
1234,1.076384089
1235,1.069478588
1236,1.062752437
1237,1.056197882
1238,1.049808253
1239,1.04357694
1240,1.037497802
1241,1.031565292
1242,1.025773395
1243,1.020116524
1244,1.01458919
1245,1.009185325
1246,1.003899043
1247,0.998724152
1248,0.99365411
1249,0.988682433
1250,0.983802568
1251,0.979007818
1252,0.974291661
1253,0.969647917
1254,0.965070567
1255,0.960554085
1256,0.95609316
1257,0.951683391
1258,0.947320413
1259,0.943000544
1260,0.938720535
1261,0.934477519
1262,0.930269003
1263,0.926092457
1264,0.921945978
1265,0.917827525
1266,0.913735113
1267,0.909666983
1268,0.905621274
1269,0.901596237
1270,0.897589982
1271,0.893600903
1272,0.88962737
1273,0.885667926
1274,0.881721215
1275,0.877786181
1276,0.873862158
1277,0.869948479
1278,0.866045372
1279,0.862153042
1280,0.858272406
1281,0.854404905
1282,0.850552391
1283,0.846717347
1284,0.842902693
1285,0.839111951
1286,0.835349115
1287,0.831618564
1288,0.827925048
1289,0.8242737
1290,0.820669846
1291,0.817118861
1292,0.813626349
1293,0.810197949
1294,0.80683868
1295,0.803553906
1296,0.800348444
1297,0.7972269
1298,0.794193398
1299,0.791251844
1300,0.788405646
1301,0.785657785
1302,0.783011258
1303,0.780468328
1304,0.778031192
1305,0.775701875
1306,0.773482068
1307,0.771373212
1308,0.769376565
