Day,Beta_EnsMean
706,0.871309929
707,0.886107497
708,0.90134044
709,0.917000145
710,0.933075786
711,0.949554838
712,0.966424994
713,0.983674616
714,1.001293749
715,1.019274428
716,1.037611894
717,1.056304626
718,1.075354129
719,1.09476494
720,1.114544883
721,1.13470412
722,1.15525414
723,1.176206067
724,1.197566941
725,1.219337285
726,1.241503179
727,1.264030561
728,1.286856875
729,1.309882596
730,1.332966313
731,1.355922282
732,1.378523499
733,1.400512502
734,1.421617031
735,1.441570267
736,1.460132271
737,1.477107614
738,1.492360309
739,1.505817741
740,1.517471001
741,1.527366817
742,1.535596311
743,1.542281255
744,1.547561228
745,1.55158104
746,1.554481179
747,1.556391135
748,1.557425663
749,1.557682097
750,1.557241529
751,1.556170225
752,1.554522514
753,1.552342445
754,1.549668044
755,1.546532393
756,1.542966425
757,1.538999692
758,1.534661189
759,1.529979944
760,1.524984658
761,1.519703642
762,1.514164343
763,1.508393198
764,1.502415031
765,1.496253237
766,1.489929125
767,1.483462885
768,1.476872757
769,1.470175654
770,1.463387683
771,1.456523746
772,1.449598342
773,1.442625776
774,1.435619503
775,1.428593978
776,1.42156285
777,1.414540321
778,1.407540955
779,1.400579438
780,1.393670447
781,1.386829123
782,1.380070575
783,1.373410359
784,1.366864115
785,1.360447027
786,1.354175314
787,1.348064467
788,1.342130885
789,1.336390376
790,1.330859423
791,1.32555481
792,1.320493199
793,1.315691561
794,1.31116733
795,1.306937918
796,1.303021014
797,1.299434781
798,1.296196297
799,1.293323636
800,1.290833749
801,1.288742922
802,1.287066832
803,1.285819381
804,1.285012722
805,1.284656256
806,1.284756586
807,1.285316676
808,1.286335021
809,1.287804574
810,1.289712787
811,1.292041034
812,1.294763312
813,1.297845677
814,1.301247671
815,1.304921806
816,1.30881241
817,1.312858224
818,1.3169927
819,1.321146116
820,1.325245917
821,1.329219297
822,1.332994461
823,1.336503148
824,1.339681447
825,1.342471287
826,1.344822034
827,1.346689895
828,1.348039955
829,1.348844931
830,1.349085361
831,1.348748758
832,1.347829759
833,1.346328452
834,1.344250515
835,1.341605619
836,1.338407561
837,1.334673017
838,1.330421284
839,1.325673714
840,1.320453778
841,1.314786196
842,1.308696836
843,1.30221276
844,1.295361817
845,1.288172364
846,1.280673385
847,1.272893965
848,1.264862984
849,1.256609306
850,1.248160832
851,1.239545539
852,1.230789438
853,1.221917503
854,1.212953359
855,1.203918979
856,1.194834061
857,1.185716897
858,1.176583193
859,1.16744671
860,1.15831922
861,1.149210446
862,1.140127733
863,1.13107761
864,1.122064404
865,1.113091007
866,1.104159951
867,1.095272355
868,1.086429387
869,1.077631868
870,1.068880439
871,1.060176805
872,1.051522702
873,1.042920761
874,1.034374051
875,1.025886908
876,1.017464347
877,1.009111971
878,1.00083638
879,0.992644362
880,0.984543346
881,0.976541199
882,0.968645513
883,0.960864156
884,0.953204736
885,0.945674621
886,0.93828053
887,0.931029052
888,0.923926063
889,0.916976817
890,0.91018568
891,0.903557047
892,0.89709387
893,0.890798874
894,0.884674042
895,0.878720917
896,0.872940086
897,0.867332138
898,0.861896172
899,0.856631964
900,0.851537853
901,0.84661226
902,0.841852769
903,0.837256752
904,0.832820915
905,0.828541599
906,0.824414581
907,0.820435017
908,0.816597506
909,0.812895909
910,0.809323855
911,0.80587396
912,0.802538618
913,0.799309053
914,0.796176866
915,0.793132648
916,0.790167049
917,0.787270784
918,0.784434535
919,0.781649791
920,0.778908931
921,0.776205301
922,0.773533687
923,0.770890661
924,0.768274568
925,0.765685923
926,0.763126999
927,0.760602362
928,0.758118115
929,0.755681947
930,0.753302395
931,0.750989363
932,0.748752482
933,0.746601485
934,0.744545855
935,0.74259378
936,0.740753084
937,0.73902972
938,0.737428904
939,0.735954009
940,0.73460751
941,0.733390205
942,0.732302018
943,0.731341034
944,0.7305049
945,0.729790092
946,0.729191646
947,0.728704415
948,0.728321761
949,0.728036776
950,0.727841362
951,0.727727249
952,0.727685288
