日期,26日平均气温
2015-01-30,0.56
2015-01-31,0.5775
2015-02-01,-0.0200000000000001
2015-02-02,-2.2425
2015-02-03,-3.83375
2015-02-04,-5.32875
2015-02-05,-7.815
2015-02-06,-9.035
2015-02-07,-8.56875
2015-02-08,-8.1725
2015-02-09,-8.08625
2015-02-10,-6.52375
2015-02-11,-5.21375
2015-02-12,-5.3775
2015-02-13,-3.95875
2015-02-14,-3.895
2015-02-15,-5.6575
2015-02-16,-7.19125
2015-02-17,-7.97
2015-02-18,-9.21875
2015-02-19,-10.925
2015-02-20,-10.55
2015-02-21,-9.895
2015-02-22,-10.3125
2015-02-23,-10.4375
2015-02-24,-9.86875
2015-02-25,-9.36875
2015-02-26,-9.19625
2015-02-27,-9.2925
2015-02-28,-9.99375
2015-03-01,-10.64125
2015-03-02,-10.16
2015-03-03,-8.44375
2015-03-04,-8.72625
2015-03-05,-9.76875
2015-03-06,-8.93125
2015-03-07,-6.485
2015-03-08,-4.36375
2015-03-09,-2.98125
2015-03-10,-1.28875
2015-03-11,-0.17375
2015-03-12,1.9075
2015-03-13,4.91875
2015-03-14,6.79875
2015-03-15,7.63
2015-03-16,9.21625
2015-03-17,9.6825
2015-03-18,9.28625
2015-03-19,8.8975
2015-03-20,8.55125
2015-03-21,8.19375
2015-03-22,7.76875
2015-03-23,6.99375
2015-03-24,5.19375
2015-03-25,4.66625
2015-03-26,4.51
2015-03-27,3.89875
2015-03-28,3.3025
2015-03-29,3.04375
2015-03-30,3.48375
2015-03-31,4.60625
2015-04-01,6.33
2015-04-02,7.845
2015-04-03,8.475
2015-04-04,9.31625
2015-04-05,10.61375
2015-04-06,11.2875
2015-04-07,11.41625
2015-04-08,11.05375
2015-04-09,10.61875
2015-04-10,9.65875
2015-04-11,9.90125
2015-04-12,10.88
2015-04-13,11.14625
2015-04-14,11.185
2015-04-15,11.40125
2015-04-16,12.0275
2015-04-17,12.72625
2015-04-18,13.86375
2015-04-19,14.49375
2015-04-20,13.88125
2015-04-21,13.2
2015-04-22,12.495
2015-04-23,11.79
2015-04-24,11.22375
2015-04-25,10.3225
2015-04-26,9.37375
2015-04-27,8.81875
2015-04-28,9.23
2015-04-29,9.9325
2015-04-30,10.80625
2015-05-01,11.59625
2015-05-02,12.33875
2015-05-03,13.53
2015-05-04,14.74375
2015-05-05,15.66
2015-05-06,16.4875
2015-05-07,17.31875
2015-05-08,17.8425
2015-05-09,18.225
2015-05-10,18.3775
2015-05-11,17.6425
2015-05-12,16.62875
2015-05-13,16.06375
2015-05-14,15.3925
2015-05-15,15.035
2015-05-16,15.4
2015-05-17,16.01625
2015-05-18,15.67375
2015-05-19,15.08875
2015-05-20,14.9075
2015-05-21,14.67625
2015-05-22,14.89875
2015-05-23,14.79
2015-05-24,14.38625
2015-05-25,14.14
2015-05-26,14.68875
2015-05-27,15.9475
2015-05-28,17.30375
2015-05-29,18.46
2015-05-30,18.55125
2015-05-31,18.1525
2015-06-01,17.84625
2015-06-02,17.46875
2015-06-03,17.45
2015-06-04,17.665
2015-06-05,17.84375
2015-06-06,17.87625
2015-06-07,18.78125
2015-06-08,19.83125
2015-06-09,20.93375
2015-06-10,22.08125
2015-06-11,22.475
2015-06-12,22.31125
2015-06-13,22.1275
2015-06-14,22.29875
2015-06-15,22.10625
2015-06-16,21.84875
2015-06-17,21.62625
2015-06-18,21.15875
2015-06-19,20.97
2015-06-20,21.365
2015-06-21,21.75
2015-06-22,22.16375
2015-06-23,22.16125
2015-06-24,22.30875
2015-06-25,22.46375
2015-06-26,22.4075
2015-06-27,22.33625
2015-06-28,22.16375
2015-06-29,21.94625
2015-06-30,21.5675
2015-07-01,21.48875
2015-07-02,21.20125
2015-07-03,20.7425
2015-07-04,20.69875
2015-07-05,21.08875
2015-07-06,21.53875
2015-07-07,21.1675
2015-07-08,20.51125
2015-07-09,20.19125
2015-07-10,20.47625
2015-07-11,20.92125
2015-07-12,21.45875
2015-07-13,22.06125
2015-07-14,22.20625
2015-07-15,22.81875
2015-07-16,23.5775
2015-07-17,24.57375
2015-07-18,25.385
2015-07-19,25.625
2015-07-20,25.41375
2015-07-21,24.5875
