REGION,YEAR,WEEK,ILITOTAL
,2022,6,419
,2022,7,525
,2022,8,490
,2022,9,591
,2022,10,637
,2022,11,905
,2022,12,763
,2022,13,739
,2022,14,806
,2022,15,727
,2022,16,758
,2022,17,833
,2022,18,805
,2022,19,811
,2022,20,779
,2022,21,640
,2022,22,729
,2022,23,631
,2022,24,548
,2022,25,587
,2022,26,527
,2022,27,562
,2022,28,549
,2022,29,605
,2022,30,620
,2022,31,595
,2022,32,171
,2022,33,877
,2022,34,910
,2022,35,774
,2022,36,866
,2022,37,800
,2022,38,1065
,2022,39,1108
,2022,40,1323
,2022,41,1384
,2022,42,1279
,2022,43,1465
,2022,44,1782
,2022,45,2063
,2022,46,2280
,2022,47,3788
,2022,48,4807
,2022,49,4688
,2022,50,3971
,2022,51,2744
,2022,52,2379
,2023,1,1564
,2023,2,1053
,2023,3,641
,2023,4,856
,2023,5,902
,2023,6,952
,2023,7,975
,2023,8,981
,2023,9,964
,2023,10,928
,2023,11,1057
,2023,12,947
,2023,13,850
,2023,14,753
,2023,15,713
,2023,16,737
,2023,17,736
,2023,18,680
,2023,19,679
,2023,20,607
,2023,21,611
,2023,22,574
,2023,23,520
,2023,24,403
,2023,25,372
,2023,26,318
,2023,27,331
,2023,28,332
,2023,29,338
,2023,30,317
,2023,31,344
,2023,32,427
,2023,33,577
,2023,34,679
,2023,35,783
,2023,36,830
,2023,37,732
,2023,38,867
,2023,39,846
,2023,40,1263
,2023,41,1246
,2023,42,1269
,2023,43,1108
,2023,44,1282
,2023,45,1634
,2023,46,1860
,2023,47,1879
,2023,48,2442
,2023,49,2554
,2023,50,2705
,2023,51,2756
,2023,52,2942
,2024,1,2819
,2024,2,2408
,2024,3,2025
,2024,4,2380
,2024,5,2695
,2024,6,2969
,2024,7,2668
,2024,8,2280
,2024,9,2636
,2024,10,2037
,2024,11,2235
,2024,12,1885
,2024,13,1790
,2024,14,1495
,2024,15,1358
,2024,16,1174
,2024,17,1207
,2024,18,1168
,2024,19,985
,2024,20,942
,2024,21,910
,2024,22,824
,2024,23,759
,2024,24,662
,2024,25,599
,2024,26,600
,2024,27,627
,2024,28,763
,2024,29,654
,2024,30,725
,2024,31,810
,2024,32,867
,2024,33,1123
,2024,34,1402
,2024,35,1349
,2024,36,1353
,2024,37,1339
,2024,38,1392
,2024,39,1425
