temp,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7
-2,1.01555674945419,1.01022370744017,1.00724523517433,1.00616512621246,1.00654162620497,1.00794010921053,1.00992771366749,1.01206986705976
-1,1.01531574973726,1.01014119560648,1.0072323583072,1.00615382280965,1.00648363571717,1.00780655291845,1.00970907503024,1.01177620667879
0,1.01498014723537,1.00998659799925,1.00716209501853,1.0060932057694,1.00637890690399,1.00762442124146,1.00943666947558,1.0114212798718
1,1.01454554220102,1.0097565246954,1.00703173226021,1.00598094224199,1.00622523482336,1.00739143325825,1.0091079856233,1.01100223867294
2,1.0140075706979,1.0094476053115,1.00683856883577,1.00581470814144,1.00602042281867,1.00710531765439,1.00872052455586,1.01051625177607
3,1.01336190901685,1.00905649159905,1.0065799170558,1.00559218937007,1.00576228361676,1.00676381390377,1.00827180125874,1.00996050639581
4,1.01260427826137,1.00857986014415,1.00625310446177,1.00531108309417,1.00544864047172,1.00636467349862,1.00775934611927,1.00933221020293
5,1.01173044909707,1.00801441516921,1.00585547561701,1.00496909907002,1.00507732835372,1.00590566122761,1.00718070648285,1.00862859333238
6,1.01073624665856,1.00735689143386,1.00538439396347,1.00456396101929,1.00464619518217,1.00538455650085,1.00653344826529,1.00784691046202
7,1.00961755518509,1.00660405777906,1.00483724486888,1.00409340942862,1.00415310445543,1.00479915583586,1.0058151583362,1.00698444317296
8,1.00836990395028,1.00575326411041,1.00421255744664,1.00355657104801,1.00359728219694,1.00414838276847,1.00502415821436,1.00603871364015
9,1.00698768899104,1.00480346268463,1.00351210469544,1.00295652443732,1.00298184022031,1.00343436605613,1.0041608389927,1.00500788265547
10,1.00546517689723,1.00375391896306,1.00273824785897,1.00229705643927,1.00231058548734,1.00265981052361,1.00322597236302,1.0038902493588
11,1.00379672926874,1.00260393215678,1.00189335781791,1.00158195524041,1.00158732479953,1.00182742433048,1.00222034321521,1.00268414378879
12,1.00197681119605,1.00135283608134,1.00097981344321,1.0008150082301,1.00081586278039,1.00093991741366,1.00114474915128,1.0013879284673
13,1,1,1,1,1,1,1,1
14,0.997860994212453,0.998544829454418,0.998956307602979,0.999140710484399,0.99914353124217,0.999010381189522,0.998786917332289,0.99851879069096
15,0.995554622777989,0.996986767081714,0.997851129724006,0.998240913241708,0.998250243914199,0.997973767609611,0.997506333977837,0.996942770169434
16,0.99307585445535,0.995325293416888,0.996686861752627,0.997304373877132,0.997323916599299,0.996892862140486,0.996159093543154,0.995270447026841
17,0.990419807396029,0.993559927679534,0.99546589961008,0.996334848606429,0.996368317751372,0.995770362712122,0.994746049931385,0.993500370461813
18,0.987581758875919,0.991690228543792,0.994190638417285,0.995336082960524,0.995387204531795,0.994608961172721,0.993268066864158,0.991631131931187
19,0.98455715515458,0.989715794890482,0.992863471217236,0.994311810630527,0.994384321787725,0.993411342228751,0.99172601740577,0.989661366804715
20,0.981341621435262,0.987636266540362,0.991486787752101,0.993265752452667,0.993363401171287,0.992180182456471,0.99012078348996,0.987589756021221
21,0.977934012336437,0.98545267992182,0.990063268596355,0.992201401451412,0.992327900545024,0.990918214025024,0.988453918492943,0.985416466520253
22,0.974350287618744,0.983173665585978,0.988597236960482,0.991121040484077,0.991279811799901,0.989628520110207,0.986730682806524,0.98314973323897
23,0.97061217319037,0.980810433317174,0.98709357021008,0.990026528028683,0.990220614711135,0.988314296361232,0.984957597795058,0.980800535330457
24,0.96674117707557,0.978374117603458,0.985557122422746,0.988919714828692,0.989151782802466,0.986978724134924,0.98314114955488,0.978379778488385
25,0.962758552899193,0.975875766291964,0.983992722108857,0.987802444067375,0.988074783701681,0.98562496964191,0.981287784609746,0.975898283792856
26,0.958685273973544,0.973326333141311,0.982405170746573,0.986676551157999,0.986991079009889,0.98425618332089,0.979403907326063,0.973366780566892
27,0.954542011951163,0.970736671604567,0.980799241551545,0.985543863568198,0.985902124192475,0.982875499313838,0.977495877746782,0.970795900413646
28,0.950349119952191,0.968117529826447,0.979179678479188,0.984406200678284,0.984809368491566,0.981486035041263,0.975570009839565,0.968196172418697
29,0.946126620063749,0.965479546836705,0.977551195457256,0.983265373673232,0.983714254859864,0.98009089087669,0.973632570154508,0.965578019500202
30,0.941894195100157,0.962833249920319,0.975918475846321,0.982123185468106,0.982618219915686,0.978693149919449,0.9716897768864,0.962951755888393
