,Avg,
2014/7/15,70.1,21.16666667
2014/7/16,64.9,18.27777778
2014/7/17,67,19.44444444
2014/7/18,69.2,20.66666667
2014/7/19,67.3,19.61111111
2014/7/20,72.9,22.72222222
2014/7/21,79.1,26.16666667
2014/7/22,81.8,27.66666667
2014/7/23,74.8,23.77777778
2014/7/24,68,20
2014/7/25,69.4,20.77777778
2014/7/26,76.3,24.61111111
2014/7/27,74.3,23.5
2014/7/28,68.7,20.38888889
2014/7/29,65.8,18.77777778
2014/7/30,67.4,19.66666667
2014/7/31,72.3,22.38888889
2014/8/1,75.5,24.16666667
2014/8/2,70.3,21.27777778
2014/8/3,72.7,22.61111111
2014/8/4,76.1,24.5
2014/8/5,75.4,24.11111111
2014/8/6,74.3,23.5
2014/8/7,71.8,22.11111111
2014/8/8,74.2,23.44444444
2014/8/9,75.9,24.38888889
2014/8/10,78.7,25.94444444
2014/8/11,75.5,24.16666667
2014/8/12,72.3,22.38888889
2014/8/13,74.7,23.72222222
2014/8/14,69.3,20.72222222
2014/8/15,65.4,18.55555556
2014/8/16,67.4,19.66666667
2014/8/17,76.2,24.55555556
2014/8/18,77.2,25.11111111
2014/8/19,79.5,26.38888889
2014/8/20,79.5,26.38888889
2014/8/21,73.5,23.05555556
2014/8/22,75.3,24.05555556
2014/8/23,77,25
2014/8/24,76.4,24.66666667
2014/8/25,78.5,25.83333333
2014/8/26,79.7,26.5
2014/8/27,79.9,26.61111111
2014/8/28,71.9,22.16666667
2014/8/29,73.9,23.27777778
2014/8/30,81.6,27.55555556
2014/8/31,74.7,23.72222222
2014/9/1,77.7,25.38888889
2014/9/2,75,23.88888889
2014/9/3,72.7,22.61111111
2014/9/4,77.5,25.27777778
2014/9/5,81.4,27.44444444
2014/9/6,73,22.77777778
2014/9/7,67.4,19.66666667
2014/9/8,68.3,20.16666667
2014/9/9,73.4,23
2014/9/10,77.4,25.22222222
2014/9/11,69.2,20.66666667
2014/9/12,62.2,16.77777778
2014/9/13,60.6,15.88888889
2014/9/14,58.1,14.5
2014/9/15,61.8,16.55555556
2014/9/16,59.3,15.16666667
2014/9/17,59.9,15.5
2014/9/18,62.3,16.83333333
2014/9/19,64.7,18.16666667
2014/9/20,72.8,22.66666667
2014/9/21,71.8,22.11111111
2014/9/22,56.9,13.83333333
2014/9/23,58.7,14.83333333
2014/9/24,63.8,17.66666667
2014/9/25,65.1,18.38888889
2014/9/26,66.8,19.33333333
2014/9/27,67.9,19.94444444
2014/9/28,67.3,19.61111111
2014/9/29,69,20.55555556
