number,,,temp,,,hum,,,temp,
,,time,Max,Avg,Min,Max,Avg,Min,Avg,
44,,12,30,21.4,12,80,62.9,47,-5.888888889,2013
45,,13,51,35.8,19,68,44.8,31,2.111111111,2013
46,,14,53,43.8,36,65,47.5,35,6.555555556,2013
47,,15,58,44.6,32,82,62.5,40,7,2013
48,,16,68,56.4,46,83,76.1,61,13.55555556,2013
49,,17,56,50.1,42,90,77.2,63,10.05555556,2013
50,,18,48,40.3,34,79,67.5,52,4.611111111,2013
51,,19,56,44.6,34,79,56.3,37,7,2013
52,,20,47,41.5,38,93,74.9,41,5.277777778,2013
53,,21,40,33.1,27,97,89.1,82,0.611111111,2013
54,,22,27,22.9,18,85,74.3,58,-5.055555556,2013
55,,23,20,15.4,10,73,61.4,46,-9.222222222,2013
56,,24,28,18,6,84,62.8,43,-7.777777778,2013
57,,25,38,31.5,27,85,65,51,-0.277777778,2013
58,,26,31,26.4,18,84,61.1,43,-3.111111111,2013
59,,27,28,21.3,12,77,59.6,43,-5.944444444,2013
60,,28,34,27,20,74,58.8,46,-2.777777778,2013
61,,29,41,29.4,17,81,64.9,47,-1.444444444,2013
62,,30,53,39.7,31,82,63,41,4.277777778,2013
63,12,1,43,36.1,28,81,68.9,53,2.277777778,2013
64,,2,53,41.5,35,86,71.7,55,5.277777778,2013
65,,3,43,39.7,36,100,91,82,4.277777778,2013
66,,4,40,32.7,19,97,87.5,65,0.388888889,2013
67,,5,19,14.4,8,67,60.2,54,-9.777777778,2013
68,,6,15,8.1,3,66,57.7,47,-13.27777778,2013
69,,7,15,6.9,-2,72,58.2,41,-13.94444444,2013
70,,8,20,17.1,13,86,76.9,56,-8.277777778,2013
71,,9,14,5.5,1,80,66.8,53,-14.72222222,2013
72,,10,24,18.6,11,68,60.4,48,-7.444444444,2013
73,,11,25,13,2,86,68.5,50,-10.55555556,2013
74,,12,30,18.5,3,78,62.9,56,-7.5,2013
75,,13,32,25.8,19,78,74.7,69,-3.444444444,2013
76,,14,25,21.1,17,85,77.4,71,-6.055555556,2013
77,,15,27,16.9,12,77,65.1,47,-8.388888889,2013
78,,16,31,20.4,13,92,82.2,69,-6.444444444,2013
79,,17,38,29.8,24,89,65.4,44,-1.222222222,2013
80,,18,50,36.7,21,78,60.8,46,2.611111111,2013
81,,19,39,33.4,28,89,81.4,67,0.777777778,2013
82,,20,28,25.3,21,89,86.2,82,-3.722222222,2013
83,,21,26,23.3,21,88,82,74,-4.833333333,2013
84,,22,26,20.4,7,88,78.5,65,-6.444444444,2013
85,,23,8,2.5,-6,73,58.3,46,-16.38888889,2013
