number,,,TEMP,,,HUM,,,TEMP
,,,Max,Avg,Min,,,,AVG
,,10,96,82.9,75,87,64.7,32,
,,11,94,81.7,72,93,62.9,33,
,,12,82,73.7,65,94,75.3,39,
,,13,68,61.5,55,77,54.3,36,
,,14,71,59.5,49,74,50.2,29,
,,15,77,63.8,50,81,56.1,34,
,,16,68,62.3,57,90,73.1,56,
,,17,75,64,53,80,59.5,37,
,,18,81,70.1,62,81,64.8,52,
,,19,81,69.7,64,100,88,65,
,,20,79,71.5,66,94,85.1,65,
,,21,72,62.6,54,94,69.8,35,
,,22,69,58.8,49,86,62.5,40,
,,23,71,59.6,50,83,60,38,
,,24,76,63.2,50,83,63.9,46,
,,25,79,67.6,57,78,58.6,42,
,,26,78,66,53,86,58.9,36,
,,27,81,68,54,80,53.6,29,
,,28,81,68.9,56,84,61.2,39,
,,29,66,62.8,60,100,92.4,68,
1,,30,72,63.2,59,100,91.5,66,17.33333333
2,,1,77,66.7,61,97,83.5,60,19.27777778
3,,2,76,68,64,100,90.5,71,20
4,,3,81,71.5,66,96,80.4,52,21.94444444
5,,4,81,72.2,66,93,82.3,65,22.33333333
6,,5,73,70.8,65,100,91.8,83,21.55555556
7,,6,65,57,45,100,92.8,59,13.88888889
8,,7,62,50.7,45,89,75.2,52,10.38888889
9,,8,70,57.3,47,93,67.3,42,14.05555556
10,,9,72,59.5,48,89,63.8,41,15.27777778
11,,10,74,61.2,50,86,64.3,44,16.22222222
12,,11,75,61.9,49,90,63,36,16.61111111
13,,12,76,64,52,93,70.1,48,17.77777778
14,,13,70,62.6,53,83,54.5,30,17
15,,14,68,55.9,44,85,62,40,13.27777778
16,,15,66,60.4,54,93,84.1,66,15.77777778
17,,16,64,56.6,46,94,76,52,13.66666667
18,,17,54,47,41,97,83.2,66,8.333333333
19,,18,64,50.9,41,96,73.3,45,10.5
20,,19,53,45.3,41,93,77.1,48,7.388888889
21,,20,63,49.5,39,86,66.2,43,9.722222222
22,,21,61,50.2,40,86,70.8,56,10.11111111
23,,22,50,40.9,31,86,66.8,39,4.944444444
24,,23,46,38.5,34,96,81.3,46,3.611111111
25,,24,40,37.3,33,93,79.9,65,2.944444444
26,,25,48,36.5,26,88,63.6,36,2.5
27,,26,56,43.3,32,73,59.9,49,6.277777778
28,,27,55,42.9,31,89,63.9,37,6.055555556
29,,28,60,46,32,89,60.6,33,7.777777778
30,,29,54,47.1,38,89,72.3,63,8.388888889
31,,30,61,53.8,48,100,99.4,93,12.11111111
32,,31,64,60.1,53,100,93.5,82,15.61111111
33,,1,57,50.5,45,94,78.7,59,10.27777778
34,,2,52,46.2,41,93,73.8,52,7.888888889
35,,3,51,41.9,33,96,74.6,48,5.5
36,,4,52,47,40,77,67.3,59,8.333333333
37,,5,57,52.2,49,86,69.7,59,11.22222222
38,,6,60,52.5,42,94,80.1,57,11.38888889
39,,7,48,39.8,32,87,68,39,4.333333333
40,,8,50,38.9,28,92,65.7,41,3.833333333
41,,9,60,49.5,42,71,54,44,9.722222222
42,,10,48,42.1,35,78,63.1,48,5.611111111
43,,11,50,40.2,32,89,76.1,52,4.555555556
44,,12,35,30.3,24,93,73.1,57,-0.944444444
45,,13,39,27.7,19,88,66,39,-2.388888889
46,,14,53,39.7,27,69,45.1,22,4.277777778
47,,15,52,45.6,41,73,44.9,37,7.555555556
48,,16,61,51,41,93,86.8,75,10.55555556
49,,17,66,59.3,49,100,88.7,59,15.16666667
50,,18,49,43.5,34,86,63.4,37,6.388888889
51,,19,42,34.7,28,85,70.3,55,1.5
52,,20,46,38.3,30,79,66.1,54,3.5
53,,21,52,47.2,43,100,82.2,56,8.444444444
54,,22,49,43.5,34,100,93.7,75,6.388888889
55,,23,32,26.9,20,89,70,53,-2.833333333
56,,24,27,20.3,13,77,59.4,41,-6.5
57,,25,33,27.4,19,71,56,43,-2.555555556
58,,26,36,32.4,30,86,72.4,59,0.222222222
59,,27,30,22.8,17,80,69.2,53,-5.111111111
60,,28,36,25.5,17,74,60.6,39,-3.611111111
61,,29,38,28.3,21,78,65,47,-2.055555556
62,,30,52,36.7,25,78,58.1,32,2.611111111
63,,1,52,41.1,33,76,63.5,50,5.055555556
64,,2,48,41.3,34,86,77.3,63,5.166666667
65,,3,48,42.5,35,100,96,85,5.833333333
66,,4,60,51.5,45,100,95.7,83,10.83333333
67,,5,61,36.8,25,93,82.8,74,2.666666667
68,,6,27,24.3,23,93,81.1,72,-4.277777778
69,,7,24,17.8,10,84,70.7,51,-7.888888889
70,,8,28,24.4,20,100,83,68,-4.222222222
71,,9,29,25.4,21,96,81.3,66,-3.666666667
72,,10,25,18.9,11,86,72.2,53,-7.277777778
73,,11,29,19.3,11,89,75.5,65,-7.055555556
74,,12,20,11.5,2,80,58.6,38,-11.38888889
75,,13,36,26.6,16,100,73.2,52,-3
76,,14,33,31.4,26,100,94.7,92,-0.333333333
77,,15,27,22.2,17,93,80,68,-5.444444444
78,,16,28,22.8,19,96,89.4,85,-5.111111111
79,,17,27,24.7,20,100,90.3,80,-4.055555556
80,,18,35,25.4,15,92,65,40,-3.666666667
81,,19,50,43.9,33,80,69.5,52,6.611111111
82,,20,59,54.9,50,100,88.7,72,12.72222222
83,,21,52,41,36,100,99.2,88,5
84,,22,45,35.3,29,100,98.6,92,1.833333333
85,,23,29,24.5,18,100,82.8,68,-4.166666667
86,,24,18,12.1,5,83,72.4,62,-11.05555556
87,,25,29,23.9,18,78,67.7,59,-4.5
88,,26,35,29.7,21,86,71.8,54,-1.277777778
89,,27,47,34.9,27,85,69.7,50,1.611111111
90,,28,52,40.1,31,85,65.7,41,4.5
91,,29,44,34.2,26,100,79.6,60,1.222222222
92,,30,25,19.7,16,88,74.1,65,-6.833333333
93,,31,31,23.7,19,80,64.2,50,-4.611111111
94,2014.1,1,40,30.4,21,85,73.6,60,-0.888888889
95,,2,28,18.8,7,100,84.2,61,-7.333333333
96,,3,16,7.1,-2,96,76.4,56,-13.83333333
97,,4,35,26,14,74,61.1,50,-3.333333333
98,,5,34,27.6,9,100,92,59,-2.444444444
99,,6,9,-8.6,-14,88,75.8,65,-22.55555556
100,,7,8,-3.3,-14,79,74.1,66,-19.61111111
101,,8,24,15.7,6,85,79.8,75,-9.055555556
102,,9,30,24,12,100,89.2,80,-4.444444444
103,,10,39,34.3,30,100,99.7,96,1.277777778
104,,11,43,37.5,33,100,96.3,85,3.055555556
105,,12,44,34.8,30,86,76,53,1.555555556
106,,13,50,45.4,37,86,70,54,7.444444444
107,,14,44,32.7,24,96,78.3,51,0.388888889
108,,15,27,22.2,18,80,69.2,60,-5.444444444
109,,16,31,24.7,17,93,80.4,65,-4.055555556
110,,17,31,19.4,11,93,76.1,57,-7
111,,18,25,19.5,10,93,83.3,68,-6.944444444
112,,19,35,24.9,17,92,77.3,59,-3.944444444
113,,20,39,34.2,27,85,72.1,62,1.222222222
114,,21,32,17.3,4,93,74.3,49,-8.166666667
115,,22,18,10.6,-1,86,77.3,64,-11.88888889
116,,23,8,2.2,-3,79,68,60,-16.55555556
117,,24,22,8.3,-6,81,65,46,-13.16666667
118,,25,32,21.4,8,86,75.1,51,-5.888888889
119,,26,41,25.6,5,76,61,50,-3.555555556
120,,27,34,11.3,-2,80,65.2,48,-11.5
121,,28,11,1.8,-5,69,59.2,42,-16.77777778
122,,29,24,12.5,2,69,58.3,44,-10.83333333
123,,30,33,24,15,56,46.3,37,-4.444444444
124,,31,34,32.4,30,85,61.2,38,0.222222222
125,,1,40,35.4,30,100,94.7,82,1.888888889
126,,2,32,26.9,21,100,85.1,72,-2.833333333
127,,3,28,20.4,13,84,71,53,-6.444444444
128,,4,26,21.3,17,93,80.9,58,-5.944444444
129,,5,25,22.1,20,93,82.8,72,-5.5
130,,6,19,8.6,-1,91,77.2,58,-13
131,,7,12,2.9,-7,83,66.8,49,-16.16666667
132,,8,24,15.4,7,85,72.9,61,-9.222222222
133,,9,25,19.9,11,93,79.4,65,-6.722222222
134,,10,12,4.9,-1,84,70.5,54,-15.05555556
135,,11,19,6,-5,80,66.5,52,-14.44444444
136,,12,30,14.8,2,80,63.1,36,-9.555555556
137,,13,37,23.3,9,80,57.6,34,-4.833333333
138,,14,30,20.6,16,93,81.4,64,-6.333333333
139,,15,22,15.8,4,89,74.4,60,-9
140,,16,25,22.9,19,93,80.1,68,-5.055555556
141,,17,34,27.5,19,93,82.2,68,-2.5
142,,18,48,37.7,26,87,66.5,39,3.166666667
143,,19,42,39.1,35,79,70.3,60,3.944444444
144,,20,61,46.3,35,100,85,70,7.944444444
145,,21,42,36.2,33,79,61.9,41,2.333333333
146,,22,53,40.7,31,82,60.3,39,4.833333333
147,,23,36,30.1,23,100,76,49,-1.055555556
148,,24,29,23.8,18,75,58.4,37,-4.555555556
149,,25,25,22.2,20,85,70.5,55,-5.444444444
150,,26,20,12.4,4,76,57.5,40,-10.88888889
151,,27,20,15.7,10,64,49.1,34,-9.055555556
152,,28,35,20.8,8,73,49.2,27,-6.222222222
153,,1,48,33.9,27,82,58.7,42,1.055555556
154,,2,26,19.4,14,92,83.8,74,-7
155,,3,17,11.9,7,79,62,41,-11.16666667
156,,4,31,18.3,7,73,59.7,43,-7.611111111
157,,5,32,23.8,17,78,66.9,47,-4.555555556
158,,6,41,27.6,18,85,64.4,45,-2.444444444
159,,7,54,36.1,22,92,69.2,38,2.277777778
160,,8,46,35.4,26,92,81,63,1.888888889
161,,9,42,30.7,19,92,70.8,47,-0.722222222
162,,10,59,45.3,34,89,69,47,7.388888889
163,,11,68,54.9,43,97,65,35,12.72222222
164,,12,50,34.4,19,100,88.2,61,1.333333333
165,,13,38,26.5,15,84,61.8,46,-3.055555556
166,,14,61,47.4,34,67,51,35,8.555555556
167,,15,54,43.2,32,88,57.4,33,6.222222222
168,,16,35,28.6,22,72,60.3,45,-1.888888889
169,,17,38,26.7,18,76,64.9,52,-2.944444444
170,,18,52,40.1,27,81,70.7,54,4.5
171,,19,51,45.5,35,83,77,67,7.5
172,,20,54,40.5,26,84,59.8,40,4.722222222
173,,21,67,51.9,36,79,47,25,11.05555556
174,,22,55,41,34,79,64.7,43,5
175,,23,37,31.2,25,76,57,37,-0.444444444
176,,24,38,28.4,20,74,53.4,33,-2
