Day,Beta,temp
730,1.213448763,17.61
731,1.209904432,13.83
732,1.206262589,13
733,1.202532768,12.56
734,1.198723555,12.17
735,1.1948452,10.44
736,1.190906048,15.28
737,1.186915636,17.5
738,1.182882547,19.33
739,1.178815961,20.28
740,1.174724817,13.72
741,1.170618057,14.39
742,1.166503668,21.11
743,1.162391186,18.78
744,1.158288598,14.11
745,1.154204249,13.89
746,1.150146604,13.72
747,1.146123767,8.39
748,1.142143488,8.33
749,1.138213277,11.89
750,1.134341478,19.61
751,1.13053441,17.61
752,1.12680006,17.56
753,1.123145103,15.06
754,1.119576335,15.72
755,1.116100073,12.44
756,1.112722993,10.94
757,1.109450698,11.56
758,1.106289387,9.61
759,1.103244543,7.83
760,1.100321174,5.5
761,1.09752512,7.44
762,1.094860554,9.5
763,1.092332721,15.17
764,1.089945436,16.94
765,1.08770299,14.94
766,1.085609317,15.44
767,1.083667994,16.17
768,1.081882834,8.39
769,1.080256462,6.56
770,1.078791738,7.44
771,1.077491641,7.89
772,1.076357841,10.56
773,1.075393319,11.56
774,1.074599266,7.56
775,1.073977232,5.83
776,1.073528767,10.61
777,1.073254108,12.39
778,1.073154569,11.39
779,1.073230267,14.72
780,1.073481083,9.28
781,1.073906779,3.89
782,1.074506521,1.06
783,1.075279474,-3.72
784,1.076224089,-1.06
785,1.077338815,3
786,1.078620911,5.33
787,1.080068469,11.61
788,1.081678271,4.39
789,1.083447099,-1.56
790,1.085370779,-1.67
791,1.087445498,0.83
792,1.089666009,1.83
793,1.092027664,0.5
794,1.094524741,1.39
795,1.097150803,1.22
796,1.09989953,3.72
797,1.102763653,5.44
798,1.105735898,4.56
799,1.10880816,2.78
800,1.111971617,5.22
801,1.115217328,7.67
802,1.118536115,10.5
803,1.121917963,7.94
804,1.125351787,7.89
805,1.128827691,9.61
806,1.132333636,4.33
807,1.135858297,3.33
808,1.139389515,2.28
809,1.14291501,-0.39
810,1.146422267,-3.61
811,1.149897814,-2.56
812,1.153328657,8.44
813,1.156701207,2.39
814,1.160001993,1.17
815,1.163217068,5.28
816,1.166332722,-0.67
817,1.169335246,-1.44
818,1.172210217,1.72
819,1.174944162,-3.28
820,1.177523494,-3.28
821,1.179934263,-4.33
822,1.182163239,-3.56
823,1.184197426,-6
824,1.186023593,-3.39
825,1.1876297,-4.39
826,1.189002633,-4.67
827,1.190131545,-4.11
828,1.191004872,-3.28
829,1.191611052,0.39
830,1.191940546,1.94
831,1.191982985,1.33
832,1.19172883,-11.33
833,1.19116962,-16.17
834,1.190296769,-5.67
835,1.189102054,-13.78
836,1.187579036,-2.5
837,1.185720682,4.33
838,1.183520555,-5.44
839,1.180973291,-11.94
840,1.178073883,-18.11
841,1.174818158,-14.17
842,1.171201229,-10.44
843,1.167220354,-8.06
844,1.162872314,-5.94
845,1.158154964,-5
846,1.153066158,-5.44
847,1.147604704,-1.22
848,1.141769886,-1.44
849,1.135562181,-1.61
850,1.128982186,0
851,1.122031093,1.67
852,1.114711642,1.78
853,1.107027411,4.78
854,1.098981619,3.78
855,1.090580821,2.17
856,1.08183074,1.39
857,1.072740078,-3.39
858,1.063317895,-4.5
859,1.053575158,-3.61
860,1.043524504,0.28
861,1.033180237,2.78
862,1.022558331,-7.17
863,1.011676669,-9.83
864,1.000555277,-8.28
865,0.989215493,-8.72
866,0.977681041,-8.67
867,0.965977073,-12.06
868,0.954130411,-6.78
869,0.942169189,-0.5
870,0.930123568,1.83
871,0.918023825,0.33
872,0.90590173,5.83
873,0.893789589,11.78
874,0.881719828,7.78
875,0.869724572,3.67
876,0.857836246,3.17
877,0.846085548,3.78
878,0.834503531,2.11
879,0.823118865,-0.11
880,0.811959147,3.17
881,0.801050067,11.06
882,0.790415585,9.33
883,0.7800771,4.44
884,0.770053923,-4.44
885,0.760362625,-2.39
886,0.751018226,0.67
887,0.742032349,3.72
888,0.733414829,3.44
889,0.725172937,11.39
890,0.717311919,17.28
891,0.709834695,17.78
892,0.702742279,8.5
893,0.696033835,9.83
894,0.689706802,12.22
895,0.683757544,10.72
896,0.678180397,11.33
897,0.672969103,14.61
898,0.66811645,13.11
899,0.663613737,9.61
900,0.659452379,8.11
901,0.655623138,3.33
902,0.652115703,2.06
903,0.648920298,3.44
904,0.64602679,8.22
905,0.643424809,13.83
906,0.641103983,6.39
907,0.639054179,1.56
908,0.637265682,5.39
909,0.635728538,7.61
910,0.634433508,4.89
911,0.633371115,9.06
912,0.632533491,13
913,0.631911576,15.67
914,0.631498098,9
915,0.631285608,5.61
916,0.631266594,5.78
917,0.631434917,17.11
918,0.631784737,7.89
919,0.632310152,7.17
920,0.633006096,8.06
921,0.633867621,6.5
922,0.634890497,4.44
923,0.636070549,3.72
924,0.637404442,13.11
925,0.638888121,6.83
926,0.640518963,7.78
927,0.642293811,13.89
928,0.644210041,16.11
929,0.646265209,18.83
930,0.648456395,21.06
931,0.650781691,21.33
932,0.653238356,18.22
933,0.655824065,13.5
