Day,Beta,temp
394,1.124302864,15.39
395,1.123327732,7.72
396,1.1223557,7.28
397,1.121389151,3.72
398,1.12043047,1.39
399,1.119482756,2.94
400,1.118548274,11.22
401,1.117630005,10.83
402,1.116730571,6.67
403,1.115852833,6.67
404,1.114999771,3.89
405,1.114174128,5.67
406,1.113379002,4.33
407,1.112617254,9.89
408,1.111891508,7.72
409,1.111205339,-0.67
410,1.110561013,-4.22
411,1.109961629,-4.78
412,1.109409809,-3.22
413,1.108908653,-0.67
414,1.108460546,-5.17
415,1.108067989,-9.72
416,1.107733727,-3.72
417,1.107459903,-4.72
418,1.107249022,-5.06
419,1.107102871,6.17
420,1.107023597,10.17
421,1.107012987,7.39
422,1.107072711,-0.33
423,1.107204199,-2
424,1.107408524,-2.56
425,1.107686758,-3.39
426,1.108039737,6.83
427,1.108467937,14.83
428,1.108971596,0.94
429,1.109550714,-1.39
430,1.110205173,0.78
431,1.110934019,0.33
432,1.111736655,2.94
433,1.112611651,2.72
434,1.113557577,0.56
435,1.114572644,2.72
436,1.115654469,2
437,1.116800189,0.56
438,1.118007183,-0.06
439,1.119271994,-1.44
440,1.120590687,4.17
441,1.121959448,6.33
442,1.123373508,5.72
443,1.1248281,4
444,1.126317739,-2.83
445,1.127837181,-3.61
446,1.129379869,-4.22
447,1.130939841,-1.67
448,1.132509947,-2.11
449,1.134083271,3.11
450,1.135652423,9.5
451,1.137209415,4.17
452,1.138746381,1.72
453,1.140254855,4.56
454,1.141726255,6.22
455,1.14315176,-1.5
456,1.14452219,-2.89
457,1.145828485,-4.44
458,1.147061467,-7.72
459,1.148211479,-4
460,1.149268866,-0.06
461,1.150224328,5.33
462,1.151068091,-0.06
463,1.151790857,-12.22
464,1.15238297,-9.83
465,1.152835369,-15
466,1.153138518,-15.44
467,1.153283954,-11.28
468,1.153262615,-12
469,1.153066397,-1.06
470,1.152686834,-1.67
471,1.152116895,-8.89
472,1.15134871,-11.06
473,1.150375724,-4.17
474,1.149191856,-0.83
475,1.147791386,3.67
476,1.146168709,2.44
477,1.144320011,1.11
478,1.142241001,3.22
479,1.139928818,0.72
480,1.137381077,-0.78
481,1.134596229,-2.11
482,1.131573439,-1.72
483,1.128312707,-0.61
484,1.124814987,-5.28
485,1.121082187,-4.11
486,1.11711669,-4.17
487,1.112921953,0.67
488,1.108502626,-2.56
489,1.103863835,-2.61
490,1.099011421,-0.44
491,1.093952775,-7.33
492,1.088695288,-3.28
493,1.083247542,-0.61
494,1.077618599,-9.5
495,1.071818829,-4.11
496,1.065858364,5.22
497,1.059748411,9.44
498,1.053500891,-1.17
499,1.047127724,-3.11
500,1.040641546,-0.11
501,1.034054995,-6.89
502,1.02738142,-6.83
503,1.020634055,-6.61
504,1.013826251,-11.61
505,1.006971359,-11.44
506,1.00008297,-9
507,0.993174195,-11.39
508,0.98625809,-17.06
509,0.979347944,-13.89
510,0.972455859,-6.17
511,0.96559453,-4.67
512,0.958775699,-11.67
513,0.95201087,-11.28
514,0.945311069,-4
515,0.93868649,-7.44
516,0.932147264,-12.22
517,0.925702333,-8
518,0.919360995,-2.94
519,0.913130879,-4.56
520,0.907019615,0.28
521,0.901033759,-1.39
522,0.89517951,-8.17
523,0.889462471,-8.61
524,0.883887291,0.22
525,0.878458023,3.61
526,0.873178124,4.67
527,0.868050575,6.67
528,0.863077283,6.44
529,0.858260274,7.33
530,0.853600383,8.56
531,0.849098086,10.61
532,0.844753623,9.89
533,0.840566158,15.83
534,0.836535096,8
535,0.832659006,3.5
536,0.828936338,6.89
537,0.825364947,6
538,0.821942568,8.33
539,0.818666697,6.11
540,0.815534592,1.28
541,0.812543273,1.67
542,0.809689403,8.72
543,0.806970119,4.67
544,0.804381847,-0.89
545,0.801921487,-2.33
546,0.799585462,3.17
547,0.797370195,9.28
548,0.795272708,11.94
549,0.793289185,12.28
550,0.791416407,15.78
551,0.789651275,11.5
552,0.78799057,5.89
553,0.786430955,10.22
554,0.784969568,13.72
555,0.78360343,15.83
556,0.782329798,16.44
557,0.78114593,20.33
558,0.780049324,13.11
559,0.779037356,9.56
560,0.778107643,13.94
561,0.777258039,17
562,0.776486397,13.72
563,0.775790691,13.89
564,0.775168896,14.72
565,0.774619341,14.17
566,0.774140239,18.83
567,0.77372992,15.94
568,0.773386717,12.11
569,0.773109317,10.72
570,0.772896528,6.78
571,0.772746563,7.17
572,0.77265811,9.89
573,0.772630453,8.67
574,0.772661924,9.33
575,0.77275157,8.39
576,0.772898257,11.06
577,0.773100674,12.83
578,0.773357868,11.06
579,0.773669004,13.33
580,0.774032712,17
581,0.774448156,19.06
582,0.774914026,18.44
583,0.775429487,21.94
584,0.775993407,23.06
585,0.776604772,23.39
586,0.777262568,23.72
587,0.777965665,21.83
588,0.778712988,22.22
589,0.779503822,20.44
590,0.780336618,13.89
591,0.781210661,13.28
592,0.782124758,15.44
593,0.783077836,20.94
594,0.784069061,20.06
595,0.785097241,21.78
596,0.786161423,21.78
597,0.787260592,13.39
598,0.788393855,9
599,0.789560199,10.89
600,0.79075861,16.28
601,0.791988373,19.94
602,0.793248534,22.39
603,0.79453826,22.22
604,0.795856893,21.33
605,0.797203481,22.28
606,0.798577428,22.56
607,0.799978018,23.61
608,0.801404834,22.06
609,0.802857041,16.22
610,0.804334164,13.67
611,0.805835962,15
612,0.807361722,16.44
613,0.808911204,21.22
614,0.81048429,24.06
615,0.812080383,20.28
616,0.813699603,24
617,0.815341711,20.56
618,0.817006469,21.72
619,0.818694055,25.44
620,0.82040453,26.44
621,0.822138011,25.94
622,0.82389462,26.44
623,0.825674713,25.33
624,0.827478588,25
625,0.829306722,23.56
626,0.831159472,23.72
627,0.833037615,23.28
628,0.834941745,21.78
629,0.836872578,23.39
630,0.838831306,22.5
631,0.840818405,25.28
632,0.842835426,25.61
633,0.844883323,22.44
634,0.846963644,21.83
635,0.849077463,21.83
636,0.851226866,18.28
637,0.853413045,19.83
638,0.855638266,19.56
639,0.857904196,22.44
640,0.860213161,21.5
641,0.862567127,21.28
642,0.864968538,20.61
643,0.86741972,22.56
644,0.869923353,22.89
645,0.872481883,24.06
646,0.875098109,21.5
647,0.877774715,17.33
648,0.880514383,20.72
649,0.883319855,20.28
650,0.886193991,21.11
651,0.889139414,23.83
652,0.892158628,22.67
653,0.895254016,23.61
654,0.898427725,21.83
655,0.901682198,22.5
656,0.905019045,23.44
657,0.908439696,26.89
658,0.911945403,26.5
659,0.915537119,24.72
660,0.919215083,23.22
661,0.922979236,22.33
662,0.92682898,24.06
663,0.930763364,24.28
664,0.934780717,25.11
665,0.938878775,24.72
666,0.943054795,25
667,0.947305322,27.56
668,0.95162636,27.56
669,0.956013203,24.39
