Day,Beta,temp
371,1.140724897,11.17
372,1.138265133,14.72
373,1.135750294,16.61
374,1.133190274,13.89
375,1.130595088,13.5
376,1.127973795,11.94
377,1.125335097,10.06
378,1.12268734,12.17
379,1.120037794,17.78
380,1.11739397,14.89
381,1.114762425,11.78
382,1.112149119,13.83
383,1.109560013,14.5
384,1.107000113,11.44
385,1.104474545,11.44
386,1.101987481,14.61
387,1.099543214,10.22
388,1.097145319,8.28
389,1.094797373,11.5
390,1.092502236,13.78
391,1.090263128,17.83
392,1.088082075,15.89
393,1.085961938,22
394,1.083904624,15.06
395,1.08191216,7.56
396,1.079986215,6.78
397,1.078128457,5.39
398,1.076340556,2.94
399,1.074623704,5.67
400,1.072979331,14.17
401,1.07140851,10.56
402,1.069912195,10
403,1.068491817,6.67
404,1.067148089,4.22
405,1.065881968,6.89
406,1.064694285,7.33
407,1.063585758,13.33
408,1.06255722,3.78
409,1.061609268,-2.11
410,1.060742497,-3.72
411,1.059957385,-4.39
412,1.059254408,-2.39
413,1.058633924,-0.83
414,1.05809617,-7.28
415,1.057641268,-8.11
416,1.057269335,-1.33
417,1.056979895,-3.94
418,1.056773186,-1.33
419,1.056648493,10.28
420,1.05660522,11.44
421,1.056642652,3.78
422,1.056759834,-1
423,1.056955457,-1.28
424,1.057228208,-5.28
425,1.057576418,-0.56
426,1.057997942,9.44
427,1.058490753,5.94
428,1.059052467,-4
429,1.059680104,-2.72
430,1.060370564,0.39
431,1.061120749,1.06
432,1.061926603,3.22
433,1.062784195,1.67
434,1.063689351,-0.33
435,1.064636827,4.06
436,1.065622091,1.22
437,1.066639304,0.72
438,1.067682981,-1.89
439,1.068746805,2.06
440,1.069824457,8
441,1.070909023,8.94
442,1.071993589,9.11
443,1.073070526,2
444,1.074132204,-4.11
445,1.075170636,-2.17
446,1.076177478,-0.78
447,1.077144265,2
448,1.078062296,3.56
449,1.078922749,5.39
450,1.079716444,7.17
451,1.080434561,3.33
452,1.081067443,5.22
453,1.08160615,8.39
454,1.082041383,5.89
455,1.082364082,-1.44
456,1.082565308,-1.61
457,1.082636356,-5.67
458,1.082568645,-8.44
459,1.08235395,-3.33
460,1.081984878,1.22
461,1.081454039,2.39
462,1.080754876,-4.5
463,1.079881549,-10.83
464,1.078828573,-8.89
465,1.077592015,-14.56
466,1.07616818,-10.33
467,1.074554682,-11.44
468,1.07275033,-7.78
469,1.070754647,0.44
470,1.068568707,-2.89
471,1.066194654,-11.28
472,1.063636065,-10.67
473,1.060897589,-1.67
