number,,,temp,,,hum,,,temp
,,time,Max,Avg,Min,Max,Avg,Min,Avg
152,,28,42,27.4,10,67,52,37,-2.555555556
153,,1,38,28,18,86,71.9,55,-2.222222222
154,,2,18,12.4,5,86,72.8,55,-10.88888889
155,,3,20,9.9,-2,70,57.3,48,-12.27777778
156,,4,36,25,13,74,60,42,-3.888888889
157,,5,35,27.3,23,81,70.8,52,-2.611111111
158,,6,44,30.9,21,82,63.4,32,-0.611111111
159,,7,56,41.6,25,88,59.8,37,5.333333333
160,,8,40,36.3,33,87,78.3,70,2.388888889
161,,9,50,38.6,27,89,68.5,46,3.666666667
162,,10,66,50.2,39,76,58,36,10.11111111
163,,11,71,47.2,35,89,71.4,37,8.444444444
164,,12,39,33.8,27,92,81.4,61,1
165,,13,52,38,23,85,69.7,53,3.333333333
166,,14,62,50.1,35,78,51.1,35,10.05555556
167,,15,59,44.7,30,85,59.3,34,7.055555556
168,,16,34,29.4,22,73,57.5,40,-1.444444444
169,,17,43,31.1,17,81,57,29,-0.5
170,,18,57,46,34,82,66.5,47,7.777777778
171,,19,50,42.5,31,83,72.9,60,5.833333333
172,,20,61,45.1,29,82,59.3,31,7.277777778
173,,21,73,53.3,34,85,50.3,22,11.83333333
174,,22,44,38.6,33,73,59.4,47,3.666666667
175,,23,39,30.3,22,72,46.8,30,-0.944444444
176,,24,40,31.5,21,82,52.7,31,-0.277777778
177,,25,35,29.4,20,93,64.1,34,-1.444444444
178,,26,47,34.7,17,81,49.6,27,1.5
179,,27,57,49.5,39,86,73.5,62,9.722222222
180,,28,45,42.4,41,82,74.7,65,5.777777778
181,,29,49,41.3,33,86,72,52,5.166666667
182,,30,61,46,28,88,61.6,41,7.777777778
183,,31,68,57,45,71,51.3,34,13.88888889
184,,1,57,47.5,32,79,52.2,32,8.611111111
185,,2,55,48.6,44,93,83.8,73,9.222222222
186,,3,66,53.5,50,94,89.7,60,11.94444444
187,,4,58,45.3,39,87,70.2,58,7.388888889
188,,5,54,44.7,35,72,55,37,7.055555556
189,,6,59,47,33,85,60.4,39,8.333333333
190,,7,56,49.9,44,73,58.5,39,9.944444444
191,,8,65,53.2,44,79,51,26,11.77777778
192,,9,65,53.4,35,82,46.8,23,11.88888889
193,,10,78,61.4,51,57,43.1,29,16.33333333
194,,11,73,58.9,37,76,36.5,16,14.94444444
195,,12,81,68.3,53,70,51.6,39,20.16666667
196,,13,72,66,60,86,73.2,63,18.88888889
197,,14,60,41.5,33,93,84.1,70,5.277777778
198,,15,46,37.3,30,73,52.8,31,2.944444444
199,,16,56,46.4,35,62,46.9,33,8
200,,17,61,53,44,66,50,38,11.66666667
201,,18,69,56.2,40,86,48.5,21,13.44444444
202,,19,73,59,39,73,44.8,25,15
203,,20,81,67.8,51,61,38.2,23,19.88888889
204,,21,71,63.8,60,93,72.6,43,17.66666667
205,,22,67,57.6,47,69,45.7,24,14.22222222
206,,23,64,53.1,40,68,42.7,24,11.72222222
207,,24,75,61.9,51,90,54.6,28,16.61111111
208,,25,76,61.2,49,90,59.5,23,16.22222222
209,,26,81,66.8,51,68,44.3,24,19.33333333
210,,27,78,66.8,54,90,70,41,19.33333333
211,,28,73,63.5,55,90,81,61,17.5
212,,29,59,55.7,51,84,68.7,53,13.16666667
213,,30,54,48.1,44,90,74.6,55,8.944444444
214,,1,53,48.7,44,83,71.2,61,9.277777778
215,,2,59,52.9,47,83,65.4,51,11.61111111
216,,3,74,62.2,47,77,44.9,23,16.77777778
217,,4,74,60.9,47,83,46.6,29,16.05555556
218,,5,76,63,50,59,41.1,32,17.22222222
219,,6,82,68.8,52,60,48.6,35,20.44444444
220,,7,88,77.9,67,61,49.5,37,25.5
221,,8,89,75.4,68,88,63.7,35,24.11111111
222,,9,78,69.9,55,84,66.2,34,21.05555556
223,,10,80,67.9,53,86,52.2,20,19.94444444
224,,11,84,75.3,63,84,67.3,55,24.05555556
225,,12,87,75.6,66,93,73.8,53,24.22222222
226,,13,68,59.1,52,94,84.5,75,15.05555556
227,,14,56,50.2,47,90,77.6,60,10.11111111
228,,15,59,50.5,43,90,78.5,48,10.27777778
229,,16,52,45.9,40,89,81.3,57,7.722222222
230,,17,61,50.6,38,89,62.8,36,10.33333333
231,,18,68,57,44,83,55.6,36,13.88888889
232,,19,76,65.4,50,76,58.9,42,18.55555556
233,,20,86,76.7,67,79,61.9,48,24.83333333
234,,21,88,79.7,71,73,59.5,46,26.5
235,,22,78,68.9,60,72,54,36,20.5
236,,23,82,68.8,54,86,50.6,23,20.44444444
237,,24,79,69.4,53,74,48.7,31,20.77777778
238,,25,79,71.3,66,73,60,48,21.83333333
239,,26,88,76.5,66,81,64.8,45,24.72222222
240,,27,86,76.8,68,78,60.3,41,24.88888889
241,,28,82,75.4,68,84,70.2,51,24.11111111
242,,29,85,74.4,63,94,74.4,53,23.55555556
243,,30,84,75.2,66,90,73.3,54,24
244,,31,89,78,67,87,66.4,46,25.55555556
245,,1,89,80.2,72,76,59.6,49,26.77777778
246,,2,84,77.6,73,81,67.4,53,25.33333333
247,,3,89,80,70,84,59.5,35,26.66666667
248,,4,77,69,64,94,83.3,66,20.55555556
249,,5,77,66.5,60,90,72.1,45,19.16666667
250,,6,84,72.3,59,87,66.7,49,22.38888889
251,,7,80,70,63,97,84.3,50,21.11111111
252,,8,78,68.8,62,87,73.6,52,20.44444444
253,,9,80,68.4,54,84,64.5,48,20.22222222
254,,10,75,67.5,62,93,78.2,0,19.72222222
255,,11,71,65.6,60,100,89.1,75,18.66666667
256,,12,81,66.7,58,97,85.3,60,19.27777778
257,,13,75,65.3,54,90,60.8,34,18.5
258,,14,79,68,52,93,58.4,39,20
259,,15,86,76,65,82,63,49,24.44444444
260,,16,87,79.7,68,90,73,59,26.5
261,,17,90,82.6,77,82,70.3,57,28.11111111
262,,18,91,83,74,87,71.9,55,28.33333333
263,,19,90,79.3,72,94,77.6,55,26.27777778
264,,20,88,77.2,68,97,81.5,53,25.11111111
265,,21,88,70.5,65,97,85.3,55,21.38888889
266,,22,86,74.3,64,96,81.5,65,23.5
267,,23,85,76.5,68,96,81.8,61,24.72222222
268,,24,85,75.8,68,96,80.7,53,24.33333333
269,,25,86,76.5,65,93,72.8,48,24.72222222
270,,26,88,78.3,66,93,69.2,46,25.72222222
271,,27,86,77.1,72,87,78.3,61,25.05555556
272,,28,84,78.6,73,90,78.3,67,25.88888889
273,,29,86,78.9,71,93,79.8,67,26.05555556
274,,30,90,80,71,90,81.2,65,26.66666667
275,,1,84,75.2,69,93,74.2,49,24
276,,2,70,65.2,60,90,76.8,63,18.44444444
277,,3,79,66.1,57,93,74.7,42,18.94444444
278,,4,79,69.1,57,93,64.3,37,20.61111111
279,,5,78,71.5,59,81,58.5,45,21.94444444
280,,6,87,77.7,69,79,70.9,59,25.38888889
281,,7,89,80.4,75,88,75.9,59,26.88888889
