日期,26日平均气温
2014-11-02,10.5825
2014-11-03,9.88875
2014-11-04,9.03
2014-11-05,8.0875
2014-11-06,7.87
2014-11-07,7.3975
2014-11-08,7.41
2014-11-09,7.76375
2014-11-10,8.565
2014-11-11,8.54375
2014-11-12,7.02125
2014-11-13,5.52375
2014-11-14,4.015
2014-11-15,3.12
2014-11-16,2.08625
2014-11-17,0.78875
2014-11-18,-1.38375
2014-11-19,-2.86625
2014-11-20,-3.16625
2014-11-21,-3.19875
2014-11-22,-1.96375
2014-11-23,-0.31625
2014-11-24,0.65125
2014-11-25,1.21
2014-11-26,1.91125
2014-11-27,1.93375
2014-11-28,1.9775
2014-11-29,3.035
2014-11-30,3.5825
2014-12-01,2.1825
2014-12-02,1.1225
2014-12-03,1.16625
2014-12-04,1.4125
2014-12-05,2.155
2014-12-06,2.98125
2014-12-07,2.465
2014-12-08,1.5
2014-12-09,1.90625
2014-12-10,2.25625
2014-12-11,2.18625
2014-12-12,2.2075
2014-12-13,2.2875
2014-12-14,2.6775
2014-12-15,3.49125
2014-12-16,3.81375
2014-12-17,3.3175
2014-12-18,2.92
2014-12-19,2.74875
2014-12-20,2.6825
2014-12-21,2.26875
2014-12-22,1.7475
2014-12-23,1.69375
2014-12-24,1.5175
2014-12-25,2.16
2014-12-26,3.17875
2014-12-27,4.29625
2014-12-28,4.3425
2014-12-29,4.02625
2014-12-30,3.12875
2014-12-31,1.2525
2015-01-01,0.2575
2015-01-02,-0.3025
2015-01-03,-0.70375
2015-01-04,-1.5475
2015-01-05,-2.8375
2015-01-06,-3.6275
2015-01-07,-4.64375
2015-01-08,-5.57
2015-01-09,-6.19125
2015-01-10,-7.4075
2015-01-11,-8.09875
2015-01-12,-8.475
2015-01-13,-8.185
2015-01-14,-8.30875
2015-01-15,-7.32625
2015-01-16,-5.5475
2015-01-17,-4.03375
2015-01-18,-2.16125
2015-01-19,-1.51125
2015-01-20,-0.81
2015-01-21,0.47
2015-01-22,1.63875
2015-01-23,2.10875
2015-01-24,2.3075
2015-01-25,2.22
2015-01-26,1.5
2015-01-27,1.27875
2015-01-28,0.80875
2015-01-29,1.03
2015-01-30,0.91625
2015-01-31,0.86625
2015-02-01,0.9425
2015-02-02,-0.255
2015-02-03,-0.86875
2015-02-04,-1.1775
2015-02-05,-2.33125
2015-02-06,-3.52125
2015-02-07,-3.16125
2015-02-08,-2.1425
2015-02-09,-2.225
2015-02-10,-1.595
2015-02-11,-0.77625
2015-02-12,-1.29375
